gene_id,MEF,Naive_CD4T,Naive_CD8T,mESCJ1,DP,Th2,Th2a,RAVCrep1,RAVCrep2
Xkr4,0.122,0,0,0.087,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0.193,0,0,0,0,0
Mrpl15,27.748,7.628,3.894,200.442,31.486,30.879,39.456,30.361,30.361
Lypla1,91.872,15.568,10.589,410.415,65.955,67.436,32.124,106.508,106.508
Tcea1,29.358,5.902,2.614,243.28,14.127,55.407,8.184,101.747,101.747
Rgs20,0.648,0.023,0,2.896,0.33,0,0,0.03,0.03
Atp6v1h,114.018,27.612,15.212,120.508,62.533,67.936,30.598,60.76,60.76
Oprk1,0,0,0,0.588,0,0,0,0,0
Npbwr1,0,0,0.011,0,0,0,0,0,0
Rb1cc1,116.985,14.553,6.855,17.65,37.898,10.071,4.897,24.88,24.88
Fam150a,14.655,0,0,0,0,0,0,0,0
St18,0.024,0,0,0.026,0.067,0,0,0,0
Pcmtd1,15.127,13.452,6.409,16.451,27.342,6.738,2.762,27.053,27.053
Sntg1,0.896,0,0,0.054,0,0,0,0,0
Rrs1,85.884,8.909,6.37,125.388,37.051,56.278,15.697,42.506,42.506
Adhfe1,0.141,0.258,0.365,1.26,0.132,0.144,0,0.048,0.048
2610203C22Rik,0.713,0.742,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,0,0
Mybl1,28.108,0.127,0.016,4.159,7.321,4.172,0.769,1.907,1.907
Vcpip1,22.882,9.351,7.312,14.696,37.258,13.538,5.869,18.788,18.788
1700034P13Rik,0.297,0,0,0.582,0.278,0,0,0,0
Sgk3,6.159,7.531,3.042,9.164,24.495,2.976,0.682,83.921,83.921
Mcmdc2,0,0.611,0.192,0.527,1.299,0.177,0,0.088,0.088
Snhg6,131.939,47.949,34.665,97.382,194.588,290.961,92.032,56.828,56.828
Snord87,9.995,1867.111,3418.065,11.76,11.207,42.756,15.942,2.023,2.023
Tcf24,0.513,0,0,2.049,0,0,0,2.358,2.358
Ppp1r42,0,0,0,0,0.288,0.313,0,0,0
Cops5,144.359,14.874,11.688,240.29,128.28,115.661,119.06,77.046,77.046
Cspp1,16.58,7.081,2.827,19.569,58.283,19.309,7.587,8.269,8.269
Arfgef1,70.08,10.692,4.599,29.546,72.13,39.474,14.491,57.377,57.377
Cpa6,6.329,0,0,0.041,0,0,0,0,0
Mir467e,0,0,0,0,0,0,0,0,0
Prex2,2.301,0.072,0,6.506,0.074,0,0,0.007,0.007
A830018L16Rik,0.018,0,0,1.698,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0
Sulf1,157.33,0,0,57.593,0,0,0,0,0
Slco5a1,1.634,0.007,0,1.19,0,0.159,0,0,0
Prdm14,0,0,0.032,15.285,0.16,0,0,0,0
Ncoa2,26.045,31.595,10.865,12.302,63.653,19.218,13.06,46.411,46.411
Tram1,186.184,72.962,35.851,106.933,180.483,142.677,62.334,195.966,195.966
Lactb2,44.372,6.089,4.009,115.585,13.624,29.941,20.475,22.61,22.61
Xkr9,0,0,0,0.082,0,0,0,0,0
Gm5523,0.119,0,0.033,0.89,1.998,1.452,3.79,0.721,0.721
Eya1,25.126,0,0,3.496,0,0,0,0,0
Msc,0,0,0.095,6.22,0,0.79,6.012,0,0
Trpa1,0,0,0.01,2.208,0,0,0,0.018,0.018
Kcnb2,1.059,0,0,0,0,0,0,0,0
Terf1,31.308,5.015,3.354,183.825,50.459,33.68,16.515,17.624,17.624
Sbspon,1.83,0.798,0.193,0.374,2.112,0,0,0.027,0.027
4930444P10Rik,0,0,0,0,0.225,0,0,0,0
Rpl7,662.761,1249.807,831.711,5947.237,437.755,3959.388,1721.251,4652.011,4652.011
Rdh10,13.536,3.723,2.602,3.723,20.597,32.693,6.169,10.469,10.469
Stau2,17.301,0.1,0,8.486,0.143,3.91,1.225,0.414,0.414
